,GSID,Project Name,Project Developer Name,Status,Sustainable Development Goals,Project Type,Country,Description,Estimated Annual Credits,Methodology,Size,Programme of Activities,POA GSID,CORSIA
10,12113,GS12046 VPA-001 Clean Cooking and Safe Water PoA in India by EcoAct Odisha State VPA,EcoAct,Listed,"13,5,3,7,8",Energy Efficiency - Domestic,India,"This project is a community-based project that involves the production, distribution, and operation of improved woodstoves across the districts in Odisha state in India. The objective is to reduce wood consumption in the region through the use of efficient cookstoves. This project will contribute to avoid CO2 emissions generated by wood burning and reduce deforestation rates that are very high in the region. The project will also improve living conditions of families who will spend less time in collecting firewood (half time on average) or spend less money in purchasing firewood. Finally, it will contribute to improve health of the users who are mostly women since the cookstoves generate reduced amount of smoke, leading to a decrease of disease related to indoor pollution.
EcoAct SAS will be the Coordinating Managing Entity (CME) of the project and will oversee carbon credits certification under Gold Standard and overall project management. With the local support of the partner Meensou India Private Limited (Meensou) , EcoAct SAS will coordinate the production and distribution of improved cookstoves across this project area. 
In Odisha state, the traditional three-stone-fire stove is widely used by households for cooking, which creates numerous social and environmental problems, and has dramatic consequences on families in this area. Odisha is one of the poorest region of India, with and extreme poverty rate of 29%, compared to 10% for India, according to national statistics. The project will focus on the most rural areas of Odisha state, where wood is the main source of fuel used for cooking. The stove will be sold at a reduced price to make it available to the poorest communities. This project will actively contribute to various UN Sustainable Development Goals (SDGs).",60000,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,Small Scale,VPA,,0
11,11899,Panama Reforestation Services ARR,Panama Reforestation Services S.A.,Listed,"13,15,5",A/R,Panama,"The project purpose is defined by the Project Proponents as to develop a commercial reforestation project, socially good and environmentally friendly with the Teak species (Tectona grandis L.) motivated by the benefits of the species such as: Fast growth, resistant to pests and high commercial value of its wood in the national and international market. Furthermore, it is stipulated that these plantations are to be certified under a Voluntary Carbon Market certification scheme with the intent of producing carbon credits while creating climate impact.
The farms in question have been subject to logging of commercially valuable species since the 1970s. Subsequently, during the colonization of East Panama (Cañitas-Tortí 1970's and 1980's), the lands have been deforested and gradually degraded by repetitive slash-and-burn processes and conversion to pasture.
At the time of reforestation, the vegetation cover of the farms includes wooded pastures with native and improved grasses, as well as areas of stubble mostly in their different stages of development between 1-5 years of age. The only economic activity has been extensive cattle ranching in pasture areas. 
Furthermore, the project aims to improve the livelihoods of local populations, in special regards to women head-of-family, by incrementing their participation in the activities. The tree nurseries, a central piece to the plantations, aims to hire only women under this description, providing also training in several areas to ensure a stable income and tangible professional progression. 
The project is also committed to the conservation of endangered wildlife. There is evidence that the project area is transverse by wild fauna currently part of the IUCN Red List, collected by using trap cameras. The aim of the carbon certification is to create conditions to expand the program to monitor this wildlife as part of the conservation effort. The project may assume additional activities to improve the wildlife presence in the area.",0,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,Large Scale,Standalone,,0
12,12095,TERRAGRN – Land Regeneration through Agroforestry in Mpumalanga South Africa - VPA 01,TERRAGRN PRIVATE LIMITED,Listed,"13,15,4,6,2,5,8",A/R,South Africa,"TERRAGRN's mission is to create positive social, environmental, and economic change through innovative nature-based solutions (NbS), developed in collaboration with local communities. As part of the 1st VPA of the PoA, TERRAGRN is transforming degraded and unutilised lands of about 16,000 ha into a sustainable, biodiverse, and carbon-sequestering agroforest. By revitalising degraded lands, we address and mitigate the environmental, social, and economic impacts of the climate crisis and will safeguard food security, accelerate socio-economic development in local communities, and also support energy transition away from fossil fuels to renewable sources.  The first VPA in South Africa is aimed at restoring and regenerating 16,000 Ha of unused degraded land in Nkangala district of Mpumalanga province into a biodiverse agroforest. 
",500000,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,Large Scale,VPA,12094.0,0
13,12094,TERRAGRN – Land Regeneration through Agroforestry in Mpumalanga South Africa,TERRAGRN PRIVATE LIMITED,Listed,"13,15,4,6,2,5,8",A/R,South Africa,"TERRAGRN aims to transform degraded and unutilized lands of about 200,000 ha into sustainable, biodiverse, and carbon-sequestering agroforests in the Nkangala District of Mpumalanga Province in South Africa.  By revitalizing degraded lands, we mitigate the environmental, social, and economic impacts of the climate crisis our planet is currently facing. The agroforests will safeguard food security, accelerate socio-economic development in local communities.  

TERRAGRN is one of the few pioneering players within the global green economy focused on changing the status quo of how a business needs to be – with a clear objective to restore rather than damage the planet. As responsible businesses, we are investing time and capital into our nature so we can revive biodiversity, sequester carbon, improve productive yield, generate jobs, bring more women into the workforce, and create socio-economic progress and a safer planet for the future generations. TERRAGRN applies regenerative and circular economy practices across its business model. We are creating an open-source, community-centric business model blueprint which can be replicated globally.",5500000,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,Large Scale,POA,,0
14,12114,Energy-saving Stoves for a Clean Environment in Bangladesh,Value Network Venture Advisory Services Pte. Ltd.,Listed,"13,15,4,5,7,8,1",Energy Efficiency - Domestic,Bangladesh,The project activity involves dissemination of high efficiency biomass (wood-fuel) fired ICSs (technology/measure) to replace the existing traditional (wood-fuel) cookstoves/ three stone fires in beneficiary households in Bangladesh.,366865,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,Large Scale,Standalone,,0
15,12143,Household water purifier programme in Guinea,Rotor Energy Technology Corporation Limited,Listed,"13,6,7,8",Energy Efficiency - Domestic,Guinea,"The project involves introduction of water purifier products to provide safe drinking water for households in Guinea. The water purifiers of the project will offer an affordable, long-term and zero emission solution for households that generally consume unsafe drinking water. It will not only dramatically increase access to safe drinking water but also reduce consumption for woody fuels previously required to treat drinking water, which will decrease environmental degradation and greenhouse gas emissions.",108205,GS Methodology for emission reductions from safe drinking water supply,Large Scale,Standalone,,0
16,12049,Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 021,Soneva Foundation,Listed,"13,3,7,8",Energy Efficiency - Domestic,Myanmar,"The purpose of this micro-scale VPA is the use of carbon finance to support the distribution and maintenance of domestic and non-domestic Fuel Efficient Stoves (""FES"") through local Implementation Partners (""IP"") in Myanmar.",10000,GS MS Simplified Methodology for Efficient Cookstoves v1.,Micro scale,VPA,1729.0,0
17,12083,Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 022,Soneva Foundation,Listed,"13,3,7,8",Energy Efficiency - Domestic,Myanmar,"The purpose of this micro-scale VPA is the use of carbon finance to support the distribution and maintenance of domestic and non-domestic Fuel Efficient Stoves (""FES"") through local Implementation Partners (""IP"") in Myanmar.",10000,GS MS Simplified Methodology for Efficient Cookstoves v1.,Micro scale,VPA,1729.0,0
18,12089,Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 023,Soneva Foundation,Listed,"13,3,7,8",Energy Efficiency - Domestic,Myanmar,"The purpose of this micro-scale VPA is the use of carbon finance to support the distribution and maintenance of domestic and non-domestic Fuel Efficient Stoves (""FES"") through local Implementation Partners (""IP"") in Myanmar.",10000,GS MS Simplified Methodology for Efficient Cookstoves v1.,Micro scale,VPA,1729.0,0
19,12081,Implementation and operation of water kiosks in Burkina Faso - VPA 2,atmosfair gGmbH,Listed,"13,6,3,8",Energy Efficiency - Domestic,Burkina Faso,"The project activities promote the installation and operation of solar powered water kiosks with different water purification systems in Burkina Faso to provide safe drinking water and displace water boiling using non-renewable biomass and/ or fossil-fuel as means of water purification. This will lead to a reduction of CO2 emissions. Moreover, the project actvities will reduce adverse health effects related to waterborne diseases associated with unsafe water usage and related to harmful gases during combustion of firewood for boiling water.",800,AMS-III.AV. Low greenhouse gas emitting water purification systems,Micro scale,VPA,10795.0,0
20,11866,GS7591 VPA 50 Safe Water Supply in the Central African Republic,CO2balance UK ltd,Listed,"13,6,5,3",Energy Efficiency - Domestic,Central African Republic,Solar-powered pump systems with tap stands in the Central African Republic.,60000,GS Methodology for emission reductions from safe drinking water supply,Small Scale,VPA,7591.0,0
21,11865,GS7591 VPA 49 Safe Water Supply in the Central African Republic,CO2balance UK ltd,Listed,"13,6,5,3",Energy Efficiency - Domestic,Central African Republic,Solar-powered pump systems with tap stands in the Central African Republic.,60000,GS Methodology for emission reductions from safe drinking water supply,Small Scale,VPA,7591.0,0
22,12079,EGE Haina Solar Project,ENERION RENEWABLES S.R.L. SEMPLIFICATA,Listed,"13,7,8",PV,Dominican Republic,"The proposed solar PoA consists of an installation and implementation of Solar Photovoltaic Power plants located in different departments within Dominican Republic territory. The implementation of the PoA ensures energy security, diversification of the grid generation mix and sustainable growth of the electricity generation sector in Dominican Republic.
The first phase of the PoA will have approximately a total installed capacity of 311 MW, with the installation of 827,330 Solar Photovoltaic units. The electricity generated by the PoA for this first phase is expected to be around 625 GWh per year, which will be delivered to the SENI; avoiding part of the electricity generated by the grid-connected power plants. Thus, it will contribute to sustainability by increasing the share of renewable energy and reducing GHG emissions. ",0,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,POA,,0
23,12036,GS10875 Namene Solar Lights Distribution Programme in Southern African Countries - Lesotho VPA 1 ,Namene Solar Lights Ltd.,Listed,"13,4,3,7,8,1",Other,Lesotho,The Namene Solar Lights Distribution Programme Southern African Countries - Lesotho VPA 1 has been designed to provide clean sources of lighting to the population without access to electricity. The programme will do so by distributing ultra-affordable pico-solar lights to rural households that currently rely on the use of kerosene and other fuels for lighting. ,45000,AMS-III.AR. Substituting fossil fuel based lighting with LED lighting systems,Small Scale,VPA,10875.0,0
24,12117,GS10875 GS 10876 RVPA 1 Namene Solar Lights Distribution Programme in Southern African Countries - Zambia VPA 1,Namene Solar Lights Ltd.,Listed,"13,4,3,7,8,1",Other,Zambia,"This Voluntary Project Activity (VPA) is a private sector initiative led by Namene Solar
Lights and being supported by private investment and underpinned by market-based
environmental financing mechanisms that provide the speed and capacity needed to
scale the programme in Zambia. Therefore, this VPA is aimed to complement existing
government-led programmes in the country for eradicating the use of fossil fuels for
lighting and to increase the energy access.",420000,AMS-III.AR. Substituting fossil fuel based lighting with LED lighting systems,Micro scale,VPA,10875.0,0
25,12024,GS10875 GS 11343 RVPA 1 Namene Solar Lights Distribution Programme in Southern African Countries - Zimbabwe VPA 1 ,Namene Solar Lights Ltd.,Listed,13,Other,Zimbabwe,The Namene Solar Lights Distribution Programme Southern African Countries - Zimbabwe VPA  has been designed to provide clean sources of lighting to the population without access to electricity. The programme will do so by distributing ultra-affordable pico-solar lights to rural households that currently rely on the use of kerosene and other fuels for lighting.,45000,AMS-III.AR. Substituting fossil fuel based lighting with LED lighting systems,Small Scale,VPA,10875.0,0
26,11873,INUMA Safe Water Project,EKI Energy Services Limited,Listed,"13,6,3,8,12",Other,Rwanda,The purpose of the Program of Activities is to enhance access to safe drinking water to the community through implementation of community level water treatment and water supply technology options (INUMA™ safe water mini-grids) thereby reducing emission of greenhouse gases resulting from avoidance of burning of non-renewable woody biomass for boiling unsafe water to make it safe for consumption. The programme is likely to reduce the drudgery of women mostly involved in collection of firewood by avoiding use of firewood for boiling of water and thereby reducing the total quantum of wood to be collected for household usage. Avoidance of water boiling will also reduce the exposure of women to indoor air pollution. The programme of activities is to be implemented across Rwanda. ,20000,GS Methodology for emission reductions from safe drinking water supply,Small Scale,POA,,0
27,12154,Ayg 1 Solar PV Plant,Masdar Armenia 1 CJSC,Listed,"13,7,8",Other,Armenia,"The project activity primarily aims at reducing Green House Gas (GHG) emissions through utilization of solar photovoltaic (PV) renewable energy technology for generation of electrical energy. The electricity generated from the project activity (approximately 530,339 MWhper annum) will displace equivalent electricity generation in grid connected powerplants. The project activity will reduce the anthropogenic GHG emissions (approximately 222,742 tCO2 per annum) associated with the equivalent amount of electricity generation from the fossil fuel-based grid connected power plants. The capacity of the proposed project activity will be 200 MWAC/250 MWDC. The proposed PV Project is located in the Aragatsotn Marz Region of Armenia. The Project site is located between the settlements of Dashtadem, Talin, Ashnak and Katnaghbyur and is located on the territories of the Dashtadem and Talin settlements. The PV Plant will span over 525 hectares.",222742,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
28,12074,Safe Water & Cookstove Program for South Asia ,Offset Financial Holdings LLC,Listed,"13,15,4,6,5,3,1",Energy Efficiency - Domestic,India,"he lack of safe drinking water and sanitation results in a host of healthcare issues including frequent, and sometimes deadly, water-borne illnesses. Individuals in the target area either uses untreated and unsafe water or, instead, uses wood and biofuels for cooking and water purification. The process results in the release of Green House Gas (GHG) emissions form the combustion of wood. The project aims to reduce these emission by providing safe water technologies and distributing improved cook stoves across South Asia. Furthermore, the project is also expected to increase social and economical opportunities within the targeted communities.",240000,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,Small Scale,POA,,0
29,11960,Safe Water Supply VPA 04,Offset Financial Holdings LLC,Listed,"13,15,4,6,5,3,1",Energy Efficiency - Domestic,India,"The lack of safe drinking water and sanitation results in a host of healthcare issues including frequent, and sometimes deadly, water-borne illnesses. Individuals in the target area either uses untreated and unsafe water or, instead, uses wood and biofuels for cooking and water purification. The process results in the release of Green House Gas (GHG) emissions form the combustion of wood. The project aims to reduce these emission by providing safe water technologies. Furthermore, the project is also expected to increase social and economical opportunities within the targeted communities.",6500,GS Methodology for emission reductions from safe drinking water supply,Small Scale,VPA,,0
30,12047,Ecoparque Candeias Landfill Gas Project,ORIZON VALORIZACAO DE RESIDUOS S.A,Listed,"13,7,8",Other,Brazil,"The objective of the Ecoparque Candeias Landfill Gas Project is to capture and burn the landfill gas (LFG)  generated by the decay of organic waste from the Ecoparque Candeias Sanitary landfill located in the municipality of Jaboatão dos Guararapes, in the Recife Metropolitan Area. The project also intends to generate electricity from the combustion of LFG and sale it to the national electricity grid and thus reduce CO2 emissions by displacing electricity generated from fossil fuels. ",511487,ACM0001 Flaring or use of landfill gas,Large Scale,Standalone,,0
31,12045,Ecoparque João Pessoa Landfill Gas Project,ORIZON VALORIZACAO DE RESIDUOS S.A,Listed,13,Other,Brazil,"The Ecoparque João Pessoa Landfill Gas Project´s aim is to capture, flare and generate electricity through the landfill gas produced at Ecoparque João Pessoa Landfill, owned by Rumos Construções Ambientais (and more recently Orizon Valorização de Resíduos S.A. (Orizon)) and located in João Pessoa City, Paraíba, Brasil, in order to avoid emissions of methane gas to the atmosphere.",221406,ACM0001 Flaring or use of landfill gas,Large Scale,Standalone,,0
32,11856,Small scale community-based afforestation program in Ethiopia – Konea,Stiftung Menschen für Menschen,Listed,"13,15,6",A/R,Ethiopia,"The small-scale VPA presented here is the first VPA under the GS Programme of Activites (PoA) ‘Small scale community-based afforestation program in Ethiopia’. It lies in the Konea micro-catchment which belongs to the Kebele (community) of Tungi, and is situated in the south of Yeshum River, an affluent of the Blue Nile (Abay River) in the Woreda (district) Wogdi, South Wollo Zone, Regional State of Amhara, located some 170 kilometers in linear distance north of Addis Ababa.
In Ethiopia, a series of droughts, overgrazing, erosion as well as deforestation due to the need for construction and firewood have resulted in eroded and depleted soils. Therefore, the livelihood of the population, which predominantly lives from agriculture, is severely threatened. MfM has set up an array of integrated measures to counter the vicious circle for the smallholder population living in rural Ethiopia. 
The VPA aims at rehabilitating land through physical and biological natural resource management practices and by considering crucial livelihood enhancement measures. While various afforestation measures are being taken, at the same time, the project will improve the livelihood of the community living in the contemplable catchments. The participation of the community is considered crucial for the sustainability of all conducted activities. 
Trees will be planted on a total area of 60 hectare, which will result in an expected annual verifiable CO2 fixation of some 450 tCO2e - in line with the SDG 13 (among other positive impacts on SGDs). After a project period of 30 years, 13,410 tCO2 have been sequestered by the small-scale afforestation project. ",450,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,Small Scale,VPA,11798.0,0
33,11798,Small scale community-based afforestation program in Ethiopia,Stiftung Menschen für Menschen,Listed,"13,15,6",A/R,Ethiopia,"The integrated, community-based afforestation program of Menschen fuer Menschen Foundation (MfM), which started in June 2022, is located in Ethiopia. 
In Ethiopia, a series of droughts, overgrazing, erosion as well as deforestation due to the need for construction and firewood have resulted in eroded and depleted soils. Therefore, the livelihood of the population, which lives predominantly from agriculture, is severely threatened. MfM has set up an array of integrated measures to counter the vicious circle for the smallholder population living in rural Ethiopia.
MfM’s afforestation program aims at rehabilitating land through physical and biological natural resource management practices and by considering crucial livelihood enhancement measures. While various afforestation measures are being taken, at the same time, the program will improve the livelihood of the community living in the contemplable catchments. The participation of the community is considered crucial for the sustainability of all conducted activities. The program will result in verifiable CO2e emission reductions in line with the SDG 13 (among other positive impacts on SGDs). Set up as a Small-scale PoA the program will generate GS VERs during a 30 year crediting period by the certified removal of maximum 16,000 t CO2 per year in each VPA. 
The proposed afforestation activities will first take place in the administrative district Wogdi, South Wollo Zone of Amhara National Regional State, covering an area of about 1,100 km2 at a distance of 580 kms northeast from Addis Ababa via highway. Four real case VPAs areas are initially planned there on a project area of 510 ha. In the near future MfM plans to expand activities to include other VPAs to the PoA within Ethiopia.",12000,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,Small Scale,POA,,0
34,12091,Fair Climate Programme for Sustainable Household Energy (PoA): Bachat - Uttar Pradesh India (VPA 7)  ,FairClimateFund,Listed,"13,5,3,7",Energy Efficiency - Domestic,India,"The proposed VPA involves the distribution of approx. 6,000 improved cook stoves (ICS) to marginalized households in rural and urban Uttar Pradesh at subsidized prices. These ICS are distributed under a voluntary scheme where users freely decide on participation. ICS will comprise mobile single burners without chimney. All the deployed cookstoves will have an energy efficiency of more than 20%. In the baseline scenario, the target households are dependent on traditional wood stoves for cooking. The use of firewood for daily cooking is not only one of the causes of deforestation but also indoor air pollution affecting directly or indirectly the health the women and children. There is also a marginal use of LPG in some households, due to the subsidy offered by the Indian government which does enable access to LPG but not continued usage. Pilot studies show that in the target area, the vast majority of the households is primarily dependent on firewood and using traditional three stone or in efficient cooking technology.

",0,GS MS Simplified Methodology for Efficient Cookstoves v1.,Micro scale,VPA,11242.0,0
35,12057,4 MW Hydro Power Project by AEMCPL,EKI Energy Services Limited,Listed,"13,7,8","Small, Low - Impact Hydro",India,"The project activity is 4 MW hydro power project located at Hongalli village in Srirangapattana taluk of Mandya District, Karnataka, India. Project activity is based on the Run-of-the River (ROR) scheme and has been developed by ADD Energy Management Company Private Limited having registered office at Bengaluru, India (herein after referred as AEMCPL). AEMCPL is a private organization, established with an objective of developing new hydro projects across the country. The project activity involves installation of 2 turbines of 2 MW capacities each, all of which will be supplying power to the Indian grid",12271,AMS-I.D. Grid connected renewable electricity generation,Small Scale,Standalone,,0
36,12096,Irokko GHG Compensation ARR ,Irokko inc.,Listed,"13,15,5,12",A/R,Canada,"The purpose of the project is to re-establish long-lived forest species on land historically cleared for agriculture to increase biodiversity and ecosystem effectiveness which, in the absence of the project, would continue to exist below its current ecological potential.

Irokko  will ensure long-term land use change through the afforestation of the project areas that meet the  eligibility criteria outlined below. 

The project will increase the biomass carrying capacity of project areas by restoring them to original high biomass content forest conditions. The project will remove carbon dioxide (CO2) from the atmosphere through the growth of softwood and Harwood. 

Each project area to be added in future will be  subject to a 70-year period of growth and to a 50-year crediting period for which the total emission reduction and sequestration will be quantified.

During subsequent financing periods, additional project areas will be added following the new area certification rules and shall contribute to the total sequestered tCO2eq.

The current project is on Maxime Cotnoir property. 

Mr. Cotnoir acquire right on 14 ha of land from Mr. Mario COTNOIR  with the objective of managing the land for biodiversity, climate, and community benefits.",0,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,Micro scale,Standalone,,0
37,11898,GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 39 - GS11898,MicroEnergy Credits,Listed,"13,6,5,3,7,8,1",Energy Efficiency - Domestic,India,"The VPA involves marketing, education, distributing and financing solar lighting systems, and water purification devices for low-income households and microentrepreneurs in India. Micro Energy Credits Corporation Private Limited is the Coordinating and Managing Entity of this PoA and coordinates the efforts of VPA implementers to distribute Clean Energy Products in India. These products provide clean drinking water and renewable energy for lighting. The water purification devices distributed under the proposed VPA replace traditional cookstoves thereby eliminating the use of fuelwood for boiling raw water in the baseline by households and thus reducing GHG emissions corresponding to the fuelwood saving by the project activity. The solar lighting systems replace kerosene-based lamps in households, which would have resulted in GHG emissions due to the burning of fossil fuels i.e. kerosene.",246968,AMS-I.A. Electricity generation by the user,Small Scale,VPA,11450.0,0
